"Timestamp","Direction","Topic","Payload"
"2026-08-05T13:22:46.402Z","IN","m360/DF/0000/out/2/6/1/0/37","870"
"2026-08-05T13:23:23.424Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505778,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505778,""rssi"":-62,""wifiRssi"":-62,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:23:23.424Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505778,""isConnected"":true,""connectionTime"":409432,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505778,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:23:32.150Z","IN","m360/DF/0000/out/1/1/1/0/37","1012"
"2026-08-05T13:23:32.180Z","IN","m360/DF/0000/out/1/2/1/0/37","933"
"2026-08-05T13:23:32.199Z","IN","m360/DF/0000/out/1/3/1/0/37","155"
"2026-08-05T13:23:32.224Z","IN","m360/DF/0000/out/1/4/1/0/37","935"
"2026-08-05T13:23:32.337Z","IN","m360/DF/0000/out/1/5/1/0/37","421"
"2026-08-05T13:23:32.337Z","IN","m360/DF/0000/out/1/6/1/0/37","672"
"2026-08-05T13:23:46.320Z","IN","m360/DF/0000/out/2/1/1/0/37","57"
"2026-08-05T13:23:46.384Z","IN","m360/DF/0000/out/2/5/1/0/37","1013"
"2026-08-05T13:23:46.406Z","IN","m360/DF/0000/out/2/6/1/0/37","859"
"2026-08-05T13:24:23.428Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505838,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505838,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:24:23.488Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505838,""isConnected"":true,""connectionTime"":409492,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505838,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:24:32.221Z","IN","m360/DF/0000/out/1/3/1/0/37","179"
"2026-08-05T13:24:32.275Z","IN","m360/DF/0000/out/1/4/1/0/37","949"
"2026-08-05T13:24:32.276Z","IN","m360/DF/0000/out/1/5/1/0/37","394"
"2026-08-05T13:24:32.318Z","IN","m360/DF/0000/out/1/6/1/0/37","655"
"2026-08-05T13:24:46.334Z","IN","m360/DF/0000/out/2/1/1/0/37","92"
"2026-08-05T13:24:46.392Z","IN","m360/DF/0000/out/2/2/1/0/37","1009"
"2026-08-05T13:24:46.393Z","IN","m360/DF/0000/out/2/3/1/0/37","965"
"2026-08-05T13:24:46.422Z","IN","m360/DF/0000/out/2/6/1/0/37","872"
"2026-08-05T13:25:23.431Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505898,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505898,""rssi"":-60,""wifiRssi"":-60,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
